iteration,before,after,diff
697,589057221,589057236,15
698,589057395,589057410,15
699,589057571,589057585,14
700,589057745,589057758,13
701,589057920,589057934,14
702,589058093,589058107,14
703,589058269,589058283,14
704,589058442,589058457,15
705,589058618,589058632,14
706,589058792,589058807,15
707,589058966,589058980,14
708,589059142,589059156,14
709,589059315,589059330,15
710,589059490,589059504,14
711,589059666,589059680,14
712,589059840,589059854,14
713,589060014,589060029,15
714,589060190,589060204,14
715,589060365,589060379,14
716,589060539,589060553,14
717,589060713,589060727,14
718,589060888,589060903,15
719,589061063,589061077,14
720,589061237,589061251,14
721,589061411,589061425,14
722,589061586,589061601,15
723,589061760,589061774,14
724,589061936,589061949,13
725,589062109,589062124,15
726,589062284,589062298,14
727,589062460,589062473,13
728,589062634,589062648,14
729,589062809,589062823,14
730,589062984,589062997,13
731,589063158,589063172,14
732,589063333,589063347,14
733,589063507,589063521,14
734,589063681,589063696,15
735,589063857,589063870,13
736,589064031,589064046,15
737,589064218,589064232,14
738,589064392,589064407,15
739,589064569,589064584,15
740,589064745,589064759,14
741,589064919,589064932,13
742,589065094,589065108,14
743,589065269,589065283,14
744,589065443,589065457,14
745,589065619,589065633,14
746,589065794,589065808,14
747,589065968,589065982,14
748,589066143,589066158,15
749,589066318,589066333,15
750,589066493,589066508,15
751,589066668,589066682,14
752,589066843,589066857,14
753,589067018,589067032,14
754,589067193,589067207,14
755,589067368,589067382,14
756,589067543,589067557,14
757,589067719,589067733,14
758,589067894,589067908,14
759,589068068,589068083,15
760,589068244,589068258,14
761,589068418,589068433,15
762,589071413,589071433,20
763,589071621,589071634,13
764,589071799,589071814,15
765,589071975,589071989,14
766,589072151,589072165,14
767,589072326,589072341,15
768,589072501,589072516,15
769,589072676,589072691,15
770,589072851,589072866,15
771,589073023,589073037,14
772,589073196,589073211,15
773,589073372,589073385,13
774,589073544,589073558,14
775,589073718,589073733,15
776,589073892,589073906,14
777,589074065,589074080,15
778,589074239,589074253,14
779,589074413,589074427,14
780,589074586,589074601,15
781,589074760,589074775,15
782,589074934,589074948,14
783,589075108,589075122,14
784,589075282,589075296,14
785,589075456,589075470,14
786,589075629,589075643,14
787,589075803,589075817,14
788,589075977,589075992,15
789,589076151,589076165,14
790,589076325,589076339,14
791,589076499,589076513,14
792,589076673,589076687,14
793,589076847,589076862,15
794,589077021,589077035,14
795,589077195,589077209,14
796,589077368,589077383,15
797,589077542,589077556,14
798,589077716,589077731,15
799,589077890,589077904,14
800,589078064,589078078,14
801,589078238,589078252,14
802,589078411,589078426,15
803,589078586,589078600,14
804,589078759,589078773,14
805,589078933,589078947,14
806,589079107,589079122,15
807,589079281,589079294,13
808,589079454,589079468,14
809,589079628,589079642,14
810,589079801,589079815,14
811,589079975,589079990,15
812,589080149,589080163,14
813,589080325,589080339,14
814,589080499,589080513,14
815,589080672,589080687,15
816,589080847,589080861,14
817,589081020,589081035,15
818,589081194,589081208,14
819,589081368,589081381,13
820,589081541,589081555,14
821,589081715,589081729,14
822,589081888,589081902,14
823,589082063,589082077,14
824,589082238,589082253,15
825,589082411,589082426,15
826,589082585,589082599,14
827,589082758,589082772,14
828,589082933,589082947,14
829,589083106,589083121,15
830,589083280,589083295,15
831,589083454,589083468,14
832,589083627,589083641,14
833,589083801,589083815,14
834,589083975,589083989,14
835,589084148,589084162,14
836,589084321,589084335,14
837,589084495,589084509,14
838,589084668,589084682,14
839,589084841,589084855,14
840,589085014,589085029,15
841,589085188,589085203,15
842,589085361,589085376,15
843,589085535,589085549,14
844,589085708,589085722,14
845,589085881,589085896,15
846,589086055,589086069,14
847,589086228,589086242,14
848,589086401,589086415,14
849,589086574,589086589,15
850,589086748,589086762,14
851,589086921,589086935,14
852,589087095,589087109,14
853,589087268,589087282,14
854,589087441,589087456,15
855,589087615,589087629,14
