iteration,before,after,diff
589,9181688,9181715,27, 0
590,9181938,9181967,29, 0
591,9182190,9182218,28, 0
592,9182441,9182467,26, 0
593,9182691,9182718,27, 0
594,9182941,9182970,29, 0
595,9183193,9183221,28, 0
596,9183443,9183470,27, 0
597,9183694,9183721,27, 0
598,9183945,9183972,27, 0
599,9184196,9184223,27, 0
600,9184446,9184473,27, 0
601,9184697,9184724,27, 0
602,9184948,9184976,28, 0
603,9185199,9185226,27, 0
604,9185449,9185476,27, 0
605,9185701,9185729,28, 0
606,9185952,9185979,27, 0
607,9186203,9186231,28, 0
608,9186454,9186481,27, 0
609,9186704,9186731,27, 0
610,9186955,9186982,27, 0
611,9187206,9187233,27, 0
612,9187458,9187485,27, 0
613,9187708,9187735,27, 0
614,9187959,9187986,27, 0
615,9188209,9188236,27, 0
616,9188460,9188488,28, 0
617,9188711,9188739,28, 0
618,9188963,9188991,28, 0
619,9189214,9189242,28, 0
620,9189465,9189493,28, 0
621,9189716,9189743,27, 0
622,9189967,9189996,29, 0
623,9190218,9190245,27, 0
624,9190469,9190496,27, 0
625,9190721,9190747,26, 0
626,9190971,9190999,28, 0
627,9191222,9191249,27, 0
628,9191473,9191500,27, 0
629,9191724,9191752,28, 0
630,9191975,9192002,27, 0
631,9192225,9192253,28, 0
632,9192477,9192504,27, 0
633,9192728,9192755,27, 0
634,9196370,9196404,34, 0
635,9196641,9196669,28, 0
636,9196901,9196929,28, 0
637,9197157,9197186,29, 0
638,9197414,9197442,28, 0
639,9197667,9197695,28, 0
640,9197920,9197947,27, 0
641,9198172,9198200,28, 0
642,9198422,9198450,28, 0
643,9198673,9198701,28, 0
644,9198924,9198952,28, 0
645,9199175,9199203,28, 0
646,9199425,9199453,28, 0
647,9199675,9199702,27, 0
648,9199922,9199951,29, 0
649,9200172,9200201,29, 0
650,9200422,9200450,28, 0
651,9200672,9200699,27, 0
652,9200920,9200948,28, 0
653,9201171,9201198,27, 0
654,9201419,9201447,28, 0
655,9201669,9201698,29, 0
656,9201918,9201947,29, 0
657,9202167,9202196,29, 0
658,9202417,9202446,29, 0
659,9202667,9202695,28, 0
660,9202916,9202944,28, 0
661,9203166,9203194,28, 0
662,9203415,9203443,28, 0
663,9203664,9203692,28, 0
664,9203913,9203942,29, 0
665,9204162,9204192,30, 0
666,9204412,9204440,28, 0
667,9204662,9204690,28, 0
668,9204910,9204939,29, 0
669,9205159,9205188,29, 0
670,9205409,9205437,28, 0
671,9205658,9205686,28, 0
672,9205908,9205936,28, 0
673,9206158,9206186,28, 0
674,9206407,9206435,28, 0
675,9206656,9206684,28, 0
676,9206905,9206934,29, 0
677,9207155,9207184,29, 0
678,9207404,9207432,28, 0
679,9207654,9207682,28, 0
680,9207903,9207932,29, 0
681,9208153,9208181,28, 0
682,9208403,9208431,28, 0
683,9208652,9208680,28, 0
684,9208902,9208930,28, 0
685,9209152,9209179,27, 0
686,9209401,9209429,28, 0
687,9209650,9209679,29, 0
688,9209900,9209929,29, 0
689,9210150,9210179,29, 0
690,9210399,9210427,28, 0
691,9210649,9210678,29, 0
692,9210899,9210927,28, 0
693,9211149,9211178,29, 0
694,9211399,9211428,29, 0
695,9211649,9211677,28, 0
696,9211897,9211926,29, 0
697,9212148,9212176,28, 0
698,9212397,9212426,29, 0
699,9212647,9212676,29, 0
700,9212897,9212926,29, 0
701,9213147,9213176,29, 0
702,9213396,9213425,29, 0
703,9213648,9213676,28, 0
704,9213897,9213926,29, 0
705,9214147,9214176,29, 0
706,9214397,9214426,29, 0
707,9214647,9214675,28, 0
708,9214897,9214925,28, 0
709,9215148,9215177,29, 0
710,9215399,9215428,29, 0
711,9215650,9215678,28, 0
712,9215900,9215928,28, 0
713,9216150,9216178,28, 0
714,9216400,9216428,28, 0
715,9216650,9216678,28, 0
716,9216900,9216928,28, 0
717,9217150,9217178,28, 0
718,9217400,9217429,29, 0
719,9217651,9217680,29, 0
720,9217900,9217929,29, 0
721,9218152,9218180,28, 0
722,9218402,9218430,28, 0
723,9218652,9218679,27, 0
724,9218902,9218930,28, 0
725,9219152,9219181,29, 0
726,9219403,9219432,29, 0
727,9219654,9219682,28, 0
728,9219903,9219932,29, 0
729,9220154,9220182,28, 0
730,9220405,9220432,27, 0
731,9220654,9220683,29, 0
732,9220904,9220933,29, 0
733,9221156,9221184,28, 0
734,9221406,9221434,28, 0
735,9221657,9221684,27, 0
736,9221907,9221935,28, 0
737,9222157,9222186,29, 0
738,9222407,9222436,29, 0
739,9222659,9222687,28, 0
740,9222908,9222937,29, 0
741,9223159,9223186,27, 0
742,9223409,9223437,28, 0
743,9223659,9223688,29, 0
744,9223909,9223937,28, 0
745,9224159,9224189,30, 0
746,9224410,9224438,28, 0
747,9224659,9224689,30, 0
748,9224910,9224939,29, 0
749,9225160,9225188,28, 0
750,9225410,9225438,28, 0
751,9225661,9225688,27, 0
752,9225910,9225938,28, 0
753,9226161,9226188,27, 0
754,9226411,9226438,27, 0
755,9226660,9226688,28, 0
756,9226910,9226938,28, 0
757,9227160,9227189,29, 0
758,9227410,9227438,28, 0
759,9227660,9227688,28, 0
760,9227910,9227938,28, 0
761,9228160,9228188,28, 0
762,9228409,9228438,29, 0
763,9228660,9228688,28, 0
764,9228909,9228938,29, 0
765,9229163,9229191,28, 0
766,9229413,9229442,29, 0
767,9229663,9229692,29, 0
768,9229913,9229941,28, 0
769,9230163,9230191,28, 0
770,9230413,9230441,28, 0
771,9230662,9230690,28, 0
772,9230912,9230941,29, 0
773,9231161,9231190,29, 0
774,9231411,9231440,29, 0
775,9231660,9231689,29, 0
776,9231911,9231939,28, 0
777,9232160,9232187,27, 0
778,9232410,9232438,28, 0
779,9232659,9232687,28, 0
780,9232909,9232937,28, 0
781,9233158,9233186,28, 0
782,9233409,9233436,27, 0
783,9233657,9233685,28, 0
784,9233907,9233935,28, 0
785,9234156,9234185,29, 0
786,9234405,9234434,29, 0
787,9234655,9234683,28, 0
788,9234905,9234932,27, 0
789,9235154,9235182,28, 0
790,9235404,9235432,28, 0
791,9238990,9239026,36, 0
792,9239272,9239300,28, 0
793,9239526,9239554,28, 0
794,9239781,9239809,28, 0
795,9240035,9240063,28, 0
796,9240286,9240313,27, 0
797,9240533,9240561,28, 0
798,9240779,9240806,27, 0
799,9241023,9241050,27, 0
800,9241267,9241294,27, 0
801,9241511,9241539,28, 0
802,9241756,9241784,28, 0
803,9242001,9242028,27, 0
804,9242244,9242271,27, 0
805,9242490,9242517,27, 0
806,9242734,9242761,27, 0
807,9242979,9243007,28, 0
808,9243224,9243250,26, 0
